handInitial,initial_palmPosition,initial_orientation,palmPosition,orientation,final_palmPosition,final_orientation
0.874120214,0.85,1.289277554,0.897063122,0.928927755,1.191578646,1.289277554
0.10999972,-0.05,2.827588395,-0.102496019,2.827588395,0.312952886,2.827588395
1.554342383,0.2,1.223775625,-0.025263196,1.819024563,0.1,1.223775625
0.777021409,,,,,,
0.170440628,,,,,,
0.653344802,,,,,,
0.931308957,,,,,,
0.239278689,,,,,,
1.339469247,,,,,,
0.929302166,,,,,,
0.24381803,,,,,,
0.170006558,,,,,,
0.803597711,,,,,,
1.024705334,,,,,,
0.170016186,,,,,,
0.803560421,,,,,,
1.026764108,,,,,,
0.17,,,,,,
0.884236408,,,,,,
0.983923894,,,,,,
0.169999493,,,,,,
0.883552987,,,,,,
0.981522548,,,,,,
0.169999786,,,,,,
1.569289888,,,,,,
0.419725666,,,,,,
0.419366627,,,,,,
